train_loss_step,epoch,step,val_loss,val_acc,train_loss_epoch
2.3358561992645264,0,49,,,
2.3839638233184814,0,99,,,
2.317411184310913,0,149,,,
,0,167,2.3258121013641357,0.1728762984275818,
,0,167,,,2.3589701652526855
2.408963918685913,1,199,,,
2.2040116786956787,1,249,,,
2.093114137649536,1,299,,,
,1,335,2.2381529808044434,0.21609537303447723,
,1,335,,,2.24827241897583
2.3491299152374268,2,349,,,
2.1820859909057617,2,399,,,
2.144526481628418,2,449,,,
2.2176287174224854,2,499,,,
,2,503,2.1696581840515137,0.2593144476413727,
,2,503,,,2.1824212074279785
2.228562116622925,3,549,,,
2.1729629039764404,3,599,,,
2.153914451599121,3,649,,,
,3,671,2.120321035385132,0.2861400842666626,
,3,671,,,2.1425864696502686
2.1612281799316406,4,699,,,
2.0965518951416016,4,749,,,
2.1447441577911377,4,799,,,
,4,839,2.1202619075775146,0.25037258863449097,
,4,839,,,2.0914859771728516
