train_loss_step,epoch,step,val_loss,val_acc,train_loss_epoch
2.3840134143829346,0,49,,,
2.3224010467529297,0,99,,,
2.302058696746826,0,149,,,
,0,167,2.3825857639312744,0.13114753365516663,
,0,167,,,2.3654682636260986
2.2704005241394043,1,199,,,
2.2992663383483887,1,249,,,
2.37850022315979,1,299,,,
,1,335,2.3115251064300537,0.17883755266666412,
,1,335,,,2.3346896171569824
2.1892824172973633,2,349,,,
2.3273093700408936,2,399,,,
2.180294990539551,2,449,,,
2.219162940979004,2,499,,,
,2,503,2.219834566116333,0.22503726184368134,
,2,503,,,2.228445291519165
2.1899619102478027,3,549,,,
2.0630948543548584,3,599,,,
2.2016119956970215,3,649,,,
,3,671,2.1949920654296875,0.2473919540643692,
,3,671,,,2.178145408630371
2.3248393535614014,4,699,,,
1.9816482067108154,4,749,,,
2.1640067100524902,4,799,,,
,4,839,2.154500961303711,0.25484350323677063,
,4,839,,,2.1383912563323975
