train_loss_step,epoch,step,val_loss,val_acc,train_loss_epoch
2.3485794067382812,0,49,,,
2.3322503566741943,0,99,,,
2.3285391330718994,0,149,,,
,0,167,2.3745028972625732,0.14903129637241364,
,0,167,,,2.3688344955444336
2.318833589553833,1,199,,,
2.328653335571289,1,249,,,
2.405472993850708,1,299,,,
,1,335,2.244948148727417,0.2101341336965561,
,1,335,,,2.3163228034973145
2.340008020401001,2,349,,,
2.208585500717163,2,399,,,
2.3949756622314453,2,449,,,
2.0152347087860107,2,499,,,
,2,503,2.2105367183685303,0.22205662727355957,
,2,503,,,2.211402177810669
2.1386289596557617,3,549,,,
2.2004482746124268,3,599,,,
2.181421995162964,3,649,,,
,3,671,2.2150444984436035,0.2280178815126419,
,3,671,,,2.177385091781616
2.295383930206299,4,699,,,
2.058811664581299,4,749,,,
1.8910176753997803,4,799,,,
,4,839,2.158277988433838,0.2578241527080536,
,4,839,,,2.156552314758301
