train_loss_step,epoch,step,val_loss,val_acc,train_loss_epoch
1.863315463066101,0,49,,,
2.160919189453125,0,99,,,
2.106915235519409,0,149,,,
,0,167,2.077014446258545,0.2935916483402252,
,0,167,,,2.0203819274902344
2.151277780532837,1,199,,,
2.072078227996826,1,249,,,
2.082648754119873,1,299,,,
,1,335,2.05176043510437,0.31147539615631104,
,1,335,,,1.9834837913513184
1.9705462455749512,2,349,,,
2.058736562728882,2,399,,,
1.9629884958267212,2,449,,,
1.7669025659561157,2,499,,,
,2,503,2.024942636489868,0.3040238320827484,
,2,503,,,1.9598063230514526
2.0352120399475098,3,549,,,
1.9309275150299072,3,599,,,
1.949663758277893,3,649,,,
,3,671,2.0649056434631348,0.3025335371494293,
,3,671,,,1.9184625148773193
1.883723497390747,4,699,,,
1.9157018661499023,4,749,,,
1.8523551225662231,4,799,,,
,4,839,2.014519691467285,0.29061102867126465,
,4,839,,,1.8895472288131714
